UMAP_1,UMAP_2,kmeans_cluster
6.5468516,-9.144661,6
9.225523,-6.462777,14
6.5154505,-9.298667,6
7.7568974,0.33944416,9
6.500637,-9.367603,6
7.3230066,-3.2977037,4
10.487315,-0.44636548,13
18.86085,3.3323069,16
7.329302,-3.3702354,4
7.7506814,0.27194166,9
9.402115,-6.365216,14
0.09462149,6.9774437,8
17.70231,4.4474416,16
0.91211456,3.8460007,10
-9.066993,3.8052735,5
7.399556,-3.1892126,4
7.329103,-3.239835,4
18.946646,3.2527835,16
11.017148,-0.35028547,13
9.542605,-6.134594,14
11.189709,-0.4840346,13
11.074502,-0.20268172,13
6.7297826,-9.208094,6
3.8053062,-4.999619,0
18.930124,3.2990716,16
10.680856,-0.38212478,13
3.7358112,-4.9643207,0
18.812593,3.3721747,16
11.047929,-0.45145282,13
10.94147,-0.5299854,13
6.1474566,-2.9488468,4
6.218583,-9.325671,6
11.109233,-0.13456033,13
7.0298896,-9.565085,6
0.94238263,5.091855,10
18.081963,3.751233,16
6.1408463,-9.397101,6
6.7113485,-7.1675353,6
3.7692773,-5.083375,0
6.3304524,-9.251549,6
11.015627,-0.34678057,13
6.8510337,-9.432237,6
6.908371,-7.3048515,6
6.906104,-8.5639715,6
10.973945,-0.48435426,13
11.04904,-0.23756735,13
8.828732,-6.387203,14
7.3835897,-3.2586982,4
9.019184,-6.210776,14
11.269261,-0.48749185,13
6.653856,-8.507462,6
6.9575877,-9.546331,6
7.4956727,0.38929504,9
3.7821574,-5.0664086,0
18.072157,3.7795367,16
6.4895906,-9.351434,6
11.087579,-0.33241394,13
6.591419,-8.550816,6
6.919133,-7.364761,6
7.429448,-3.225472,4
19.000957,3.2461195,16
6.2926865,-9.183324,6
3.9976726,-4.7923536,0
6.372508,-9.142634,6
7.4835715,0.3243389,9
18.863625,3.3789637,16
3.9425254,-4.9989057,0
-9.096635,3.8344605,5
11.005857,-0.5194203,13
9.426499,-6.0671396,14
6.504369,-8.609478,6
6.3656096,-9.6022005,6
19.114883,3.2535672,16
3.8278275,-4.934288,0
6.569268,-8.504595,6
6.888936,-9.127339,6
10.2464075,-0.42890337,13
3.9787316,-4.7644167,0
18.641922,5.733028,16
6.9164424,-7.329359,6
0.8994027,3.588845,10
7.4124775,-3.2386234,4
11.007443,-0.48656374,13
3.551616,4.6694884,2
10.218797,-0.50104946,13
18.127115,5.48725,16
6.5482607,-9.065527,6
7.0162015,-9.543794,6
18.95746,3.2845306,16
7.427178,-3.2868745,4
3.9387975,-4.801566,0
7.729938,-3.8672073,4
10.327773,-0.5373342,13
7.341724,-3.2823668,4
6.501368,-9.022285,6
6.990052,-9.518484,6
7.379255,-3.3084328,4
6.152354,-9.145013,6
7.271914,-3.2952561,4
4.060905,-4.7751718,0
8.917625,-6.407545,14
10.996624,-0.48464477,13
7.0130005,-9.543225,6
9.229953,-6.4070215,14
7.3254876,-3.2713246,4
6.629762,-8.533773,6
3.597825,-4.8678184,0
7.740684,-3.8541174,4
9.384324,-6.3971763,14
6.9147964,-7.316278,6
6.8473964,-8.371614,6
3.931625,-4.8049717,0
6.480428,-8.566617,6
18.639711,5.7216454,16
9.414612,-6.074987,14
0.8284724,3.8925135,10
6.607751,-8.621757,6
7.47402,0.31917834,9
9.335984,-6.430431,14
3.9965026,-4.741947,0
9.432417,-6.2971535,14
6.869674,-7.286774,6
6.9543524,-7.430358,6
8.874213,-6.341257,14
0.95396256,5.134164,10
3.7967064,-5.034084,0
11.167341,-0.5025038,13
3.9282703,-4.717864,0
10.689,-0.36092973,13
6.960752,-9.157375,6
3.8396335,-5.0645056,0
0.0050113294,6.7724767,8
18.688414,5.7040634,16
6.766262,-8.49949,6
6.432742,-8.681329,6
6.0780077,-2.9015942,4
18.866034,3.4685884,16
6.573038,-8.31255,6
3.8340685,4.0583625,2
9.398343,-6.3448052,14
6.621883,-8.590913,6
5.6191993,8.723808,15
17.686247,4.4603534,16
7.3756623,-3.3641405,4
7.3655543,-3.2860243,4
-8.918497,3.57931,5
10.643958,-0.3989097,13
8.893454,-6.2903223,14
6.627187,-8.4950695,6
8.872733,-6.360592,14
10.688271,-0.19360976,13
6.2004066,-9.352245,6
7.8032074,0.2941972,9
6.4067183,-9.402898,6
6.8622775,-8.595202,6
4.0039377,-4.7424927,0
9.349096,-6.264603,14
6.3045006,-9.199806,6
0.7782005,3.5581717,10
6.8086295,-8.491963,6
7.2890005,-3.2409375,4
11.050623,-0.16195378,13
6.8830824,-7.3553505,6
6.12612,-2.9173994,4
18.67497,4.6319103,16
0.21174245,6.7376766,8
7.78023,0.27632564,9
6.4517016,-8.909172,6
11.210906,-0.3609428,13
9.299657,-6.1888084,14
9.429813,-6.0875936,14
11.200123,-0.33877593,13
3.8389828,-4.908132,0
3.9855824,-4.7736225,0
6.3739605,-9.64093,6
3.9870443,-4.7636623,0
18.685253,4.6188593,16
6.6281185,-8.548261,6
0.9740934,3.6076007,10
7.421978,-3.259736,4
6.6350517,-8.515432,6
11.164091,-0.5075941,13
0.8690837,3.5985765,10
-9.103269,3.8396292,5
9.3714905,-6.2966504,14
6.392888,-9.635834,6
9.845065,-1.2438012,13
0.92340904,3.8895326,10
6.974741,-9.543563,6
7.259638,-3.2387738,4
6.9293966,-7.3305626,6
7.506763,0.3690091,9
0.6741052,3.8706837,10
9.018036,-6.084432,14
9.846908,-1.1934767,13
6.0886726,-2.8569922,4
5.6783123,8.866932,15
7.502961,0.35440448,9
18.684809,4.6268063,16
6.384625,-9.616021,6
9.482869,-6.114575,14
9.837576,-1.2050871,13
6.385148,-9.649231,6
18.68949,4.62169,16
10.908875,-0.6279785,13
18.948038,3.1834486,16
6.4880614,-8.925195,6
7.501556,0.38012668,9
6.138139,-2.92704,4
9.830537,-1.1934986,13
6.98551,-9.552592,6
3.88412,-5.0501733,0
11.083923,-0.1548747,13
7.2817845,-3.264254,4
10.896821,-0.6083277,13
6.666329,-9.124424,6
-9.060364,3.8108904,5
