umap_n_neighbors,umap_min_dist,dbscan_eps,dbscan_min_samples,n_clusters,noise_frac,silhouette,davies_bouldin,calinski_harabasz
15,0.0,0.4,20,26,4.4237021963681406e-05,0.636771023273468,0.39953408368114485,202105.46875
10,0.05,0.3,50,35,0.0033177766472761053,0.6358325481414795,0.40895663615693595,160440.484375
10,0.05,0.1,50,154,0.1593417531131804,0.635697066783905,0.46772352655916516,686129.8125
25,0.1,0.5,30,16,0.0006193183074915397,0.6351587176322937,0.46734491849666016,145690.484375
25,0.1,0.5,50,16,0.0006193183074915397,0.6351587176322937,0.46734491849666016,145690.484375
10,0.0,0.4,30,29,0.0005529627745460175,0.6351394653320312,0.3888552883646329,172596.375
10,0.0,0.4,50,29,0.0005529627745460175,0.6351394653320312,0.3888552883646329,172596.375
60,0.05,0.2,30,37,0.0014598217248014864,0.6349639892578125,0.41844765673633444,414931.59375
10,0.05,0.3,20,33,0.00044237021963681403,0.6349390745162964,0.3970502538118932,135772.484375
40,0.1,0.25,30,29,0.0006856738404370618,0.634884774684906,0.4072396085709642,173878.375
40,0.1,0.5,15,16,0.0,0.6343297958374023,0.4548775757873965,162587.734375
40,0.1,0.5,20,16,0.0,0.6343297958374023,0.4548775757873965,162587.734375
40,0.1,0.5,30,16,0.0,0.6343297958374023,0.4548775757873965,162587.734375
40,0.1,0.5,50,16,0.0,0.6343297958374023,0.4548775757873965,162587.734375
40,0.1,0.4,5,16,0.0,0.6343297958374023,0.4548937543907545,162591.453125
40,0.1,0.4,10,16,0.0,0.6343297958374023,0.4548937543907545,162591.453125
40,0.1,0.4,15,16,2.2118510981840703e-05,0.6342519521713257,0.45486115718354514,162589.859375
40,0.1,0.4,20,16,2.2118510981840703e-05,0.6342519521713257,0.45486115718354514,162589.859375
10,0.0,0.15,10,48,0.001924310455420141,0.6342464089393616,0.3964575010167651,188075.734375
60,0.05,0.4,5,17,0.0,0.6339964866638184,0.42843739206780346,210015.0625
60,0.05,0.4,10,17,0.0,0.6339964866638184,0.42843739206780346,210015.0625
60,0.05,0.4,15,17,0.0,0.6339964866638184,0.42843739206780346,210015.0625
60,0.05,0.4,20,17,0.0,0.6339964866638184,0.42843739206780346,210015.0625
60,0.05,0.4,30,17,0.0,0.6339964866638184,0.42843739206780346,210015.0625
60,0.05,0.5,5,17,0.0,0.6339964866638184,0.42843739206780346,210015.0625
60,0.05,0.5,10,17,0.0,0.6339964866638184,0.42843739206780346,210015.0625
60,0.05,0.5,15,17,0.0,0.6339964866638184,0.42843739206780346,210015.0625
60,0.05,0.5,20,17,0.0,0.6339964866638184,0.42843739206780346,210015.0625
60,0.05,0.5,30,17,0.0,0.6339964866638184,0.42843739206780346,210015.0625
60,0.05,0.5,50,17,0.0,0.6339964866638184,0.42843739206780346,210015.0625
15,0.05,0.25,10,30,0.0005308442635641768,0.6336292624473572,0.39188246138520066,175306.875
60,0.05,0.15,30,48,0.005463272212514653,0.6334302425384521,0.4204151598141003,502825.96875
15,0.0,0.5,5,24,0.0,0.6331730484962463,0.41792137106073063,210393.75
15,0.0,0.5,10,24,0.0,0.6331730484962463,0.41792137106073063,210393.75
15,0.0,0.5,15,24,0.0,0.6331730484962463,0.41792137106073063,210393.75
60,0.1,0.2,10,26,0.0007741478843644246,0.6321082711219788,0.45620316560904917,185190.421875
60,0.0,0.3,50,24,8.847404392736281e-05,0.6320979595184326,0.45690797087571283,372813.46875
60,0.05,0.3,5,18,6.63555329455221e-05,0.6319795846939087,0.417508821151759,197920.90625
60,0.1,0.25,20,23,0.00042025170865497336,0.6318433880805969,0.4441952286304422,207343.65625
15,0.0,0.25,15,33,0.00022118510981840702,0.6314247846603394,0.39240587224825907,251686.203125
60,0.05,0.3,15,18,0.00017694808785472562,0.6314074993133545,0.41750465219164967,197900.421875
15,0.0,0.2,30,43,0.002455154718984318,0.631390392780304,0.4197085474484388,296401.53125
15,0.05,0.3,30,29,0.0009953329941828316,0.6313048601150513,0.3954885776405908,181408.484375
40,0.05,0.2,50,40,0.003715909844949238,0.6312875151634216,0.4473645383700385,417199.5625
25,0.05,0.25,5,30,0.0001327110658910442,0.6311495900154114,0.4295101207273248,242926.3125
15,0.0,0.25,10,32,0.00015482957687288493,0.6310453414916992,0.398950122046139,254774.546875
60,0.05,0.2,20,37,0.0007299108624007432,0.6300247311592102,0.41886168016388525,414339.0625
60,0.1,0.5,5,15,0.0,0.6298770904541016,0.437585145764683,159251.90625
25,0.05,0.25,10,29,0.0003760146866912919,0.6297697424888611,0.4091940770890534,251647.3125
10,0.0,0.4,5,28,0.0,0.6297082901000977,0.4002464551564631,158608.71875
10,0.0,0.2,30,45,0.002698458339784566,0.6296269297599792,0.39200479309826736,190037.0625
40,0.05,0.2,30,36,0.0017473623675654155,0.6290892362594604,0.42040344994742174,391444.96875
10,0.05,0.25,50,40,0.005197850080732565,0.628943681716919,0.4218036329471042,204945.53125
25,0.05,0.5,5,18,2.2118510981840703e-05,0.6285604238510132,0.4869019020367993,192226.8125
25,0.05,0.5,10,18,2.2118510981840703e-05,0.6285604238510132,0.4869019020367993,192226.8125
25,0.05,0.5,15,18,2.2118510981840703e-05,0.6285604238510132,0.4869019020367993,192226.8125
25,0.05,0.5,20,18,2.2118510981840703e-05,0.6285604238510132,0.4869019020367993,192226.8125
15,0.05,0.5,5,18,0.0,0.6284510493278503,0.4581264315796021,160068.96875
15,0.05,0.5,10,18,0.0,0.6284510493278503,0.4581264315796021,160068.96875
15,0.05,0.5,15,18,0.0,0.6284510493278503,0.4581264315796021,160068.96875
15,0.05,0.5,20,18,0.0,0.6284510493278503,0.4581264315796021,160068.96875
10,0.05,0.3,15,32,0.0003317776647276105,0.6283152103424072,0.40415325719219036,137647.8125
15,0.0,0.2,50,46,0.005175731569750724,0.6282752752304077,0.4611343644846655,339133.125
60,0.05,0.3,10,18,0.0001327110658910442,0.628212571144104,0.4175264969957757,197903.34375
60,0.05,0.15,15,41,0.0019685474773838223,0.6281812787055969,0.4072878390043268,467050.5625
25,0.05,0.25,15,30,0.0004866072416004955,0.6279895305633545,0.4069163173129546,249503.015625
60,0.05,0.15,10,39,0.0015040587467651677,0.6279885768890381,0.39586777821409785,427164.59375
60,0.0,0.1,10,54,0.004202517086549734,0.6279714703559875,0.42635278142742516,626884.3125
25,0.05,0.3,50,29,0.001039570016146513,0.6278992891311646,0.4027452994240266,245011.140625
15,0.05,0.3,20,29,0.0002654221317820884,0.6278174519538879,0.41121987444903707,180922.578125
15,0.0,0.25,20,35,0.00022118510981840702,0.6277268528938293,0.40918822990998704,250181.5625
40,0.05,0.15,20,40,0.003362013669239787,0.6276068091392517,0.4221714977984788,389725.28125
60,0.1,0.2,5,24,0.0005308442635641768,0.6274409890174866,0.41871275023254206,197298.625
10,0.05,0.4,50,27,0.0008626219282917873,0.6271567344665527,0.4465093307316584,158588.921875
15,0.05,0.4,30,24,0.0006414368184733803,0.6270805597305298,0.4277957260024947,190714.6875
15,0.0,0.25,30,34,0.0008626219282917873,0.6267287135124207,0.41376463478513525,257529.140625
10,0.0,0.4,15,30,0.0,0.6267266273498535,0.3853803902584606,166769.921875
10,0.0,0.4,20,30,0.0,0.6267266273498535,0.3853803902584606,166769.921875
40,0.1,0.3,5,19,6.63555329455221e-05,0.6266984343528748,0.46961753715127996,147302.0625
40,0.0,0.1,50,90,0.03295658136294265,0.6264808773994446,0.4187401867396642,1008826.1875
10,0.05,0.5,10,22,0.0,0.6264347434043884,0.4800529290887093,122411.6796875
60,0.0,0.1,20,61,0.007807834376589768,0.6261919140815735,0.42565590370139683,676691.9375
40,0.05,0.15,15,40,0.002632102806839044,0.6261688470840454,0.4223788445095808,389772.25
10,0.05,0.4,5,23,0.0,0.6259211897850037,0.47633756430042085,119696.375
40,0.05,0.2,20,36,0.0012386366149830794,0.6255594491958618,0.4205059743995386,390695.65625
15,0.05,0.3,50,31,0.0010838070381101945,0.6251435279846191,0.4048825816731533,203058.78125
15,0.0,0.25,5,32,0.00011059255490920351,0.6249045729637146,0.39901057611897917,254791.8125
15,0.05,0.4,50,24,0.0007962663953462653,0.6248542666435242,0.4276711311622246,190715.65625
40,0.0,0.1,20,76,0.008493508217026829,0.624594509601593,0.40562378059174725,539197.625
25,0.1,0.5,15,16,2.2118510981840703e-05,0.6245488524436951,0.42146059324507934,124618.375
25,0.1,0.5,20,16,2.2118510981840703e-05,0.6245488524436951,0.42146059324507934,124618.375
60,0.0,0.1,30,71,0.012828736369467608,0.6245359182357788,0.47305087224024733,817478.75
60,0.05,0.25,50,33,0.0008626219282917873,0.6241147518157959,0.47838378977030843,331828.90625
15,0.1,0.4,30,22,0.0007741478843644246,0.6239544153213501,0.4871575565806603,159803.296875
40,0.0,0.1,5,52,0.002543628762911681,0.6239527463912964,0.41589424852427526,475435.25
25,0.1,0.4,50,18,0.0007077923514189025,0.6239404082298279,0.45643363680693416,130126.96875
40,0.1,0.4,30,17,2.2118510981840703e-05,0.6238733530044556,0.4607794817171772,154268.46875
